run,task,method,window,n_nodes,mean_novelty,h_spatial,h_fitness,breakthrough
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,21,10,0.07638246244080953,2.290367746610468,2.2902379879874184,1
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,22,10,0.09706344762802613,2.2853507228394188,2.2850406045066904,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,23,10,0.08129708556201441,2.3007985606842274,2.3007725264077794,1
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,24,8,0.0614866446163429,2.0764182889076963,2.076454832889697,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,25,10,0.08254949524072479,2.2834985011244124,2.2832926972710395,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,26,10,0.06735663211603962,2.28128509480102,2.2813453347292265,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,27,10,0.09019901317059605,2.2985544278275154,2.2985759276399174,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,28,9,0.07384113313944161,2.1851192563173463,2.182470890838318,1
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,29,10,0.07945973043933781,2.2862060578021484,2.2830776285158674,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,30,9,0.08220139612997662,2.183958030317214,2.1838415072876525,1
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,31,10,0.0618160474617083,2.282985662806049,2.2829430230499366,1
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,32,10,0.06429269527029775,2.295890323325677,2.2960699890108356,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,33,9,0.04077575298262828,2.183512409534288,2.18330786608761,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,34,9,0.05897068864295845,2.171558887244232,2.1710823204721765,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,35,10,0.03776226265023041,2.2934516376235883,2.2929401995344314,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,36,10,0.06520516185207557,2.28037077513449,2.2803637139715285,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,37,9,0.06416531644742,2.1829681239859546,2.184482671780686,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,38,9,0.04578256211287408,2.182216975167881,2.1820896944071975,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,39,10,0.07282140070803882,2.2898385617249124,2.2897768487405905,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,40,10,0.06360776245681356,2.294220412105793,2.294119334137143,1
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,41,10,0.03138280044168825,2.2922154903231085,2.2922616767162367,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,42,9,0.06421164566623165,2.187913741135683,2.187887011197722,0
